numero,codigo,nombre,grupo,descripcion
1,MA,"MATRICULA ACTIVA",C01_estados_actual,"MATRICULA ACTIVA"
2,MC,"MATRICULA CANCELADA",C01_estados_actual,"MATRICULA CANCELADA"
3,0,"MATRICULA ACTUALIZADA",C02_estado_actualizacion,"MATRICULA ACTUALIZADA"
4,1,"MATRICULA NO ACTUALIZADA",C02_estado_actualizacion,"MATRICULA NO ACTUALIZADA"
5,"01","EMPRESA UNIPERSONAL",C03_tipo_societario,"EMPRESA UNIPERSONAL"
6,"03","SOCIEDAD COLECTIVA",C03_tipo_societario,"SOCIEDAD COLECTIVA"
7,"04","SOCIEDAD DE RESPONSABILIDAD LIMITADA",C03_tipo_societario,"SOCIEDAD DE RESPONSABILIDAD LIMITADA"
8,"05","SOCIEDAD EN COMANDITA SIMPLE",C03_tipo_societario,"SOCIEDAD EN COMANDITA SIMPLE"
9,"06","SOCIEDAD EN COMANDITA POR ACCIONES",C03_tipo_societario,"SOCIEDAD EN COMANDITA POR ACCIONES"
10,"07","SOCIEDAD ANONIMA",C03_tipo_societario,"SOCIEDAD ANONIMA"
11,"08","SOCIEDAD ANONIMA MIXTA",C03_tipo_societario,"SOCIEDAD ANONIMA MIXTA"
12,"09","SOCIEDAD CONSTITUIDA EN EL EXTRANJERO",C03_tipo_societario,"SOCIEDAD CONSTITUIDA EN EL EXTRANJERO"
13,"10","ENTIDAD FINANCIERA DE VIVIENDA",C03_tipo_societario,"ENTIDAD FINANCIERA DE VIVIENDA"
14,"11","EMPRESA ESTATAL",C03_tipo_societario,"EMPRESA ESTATAL"
15,"12","EMPRESA ESTATAL MIXTA",C03_tipo_societario,"EMPRESA ESTATAL MIXTA"
16,"13","EMPRESA MIXTA",C03_tipo_societario,"EMPRESA MIXTA"
17,"14","EMPRESA ESTATAL INTERGUBERNAMENTAL",C03_tipo_societario,"EMPRESA ESTATAL INTERGUBERNAMENTAL"
18,"15","INSTITUCION FINANCIERA DE DESARROLLO",C03_tipo_societario,"INSTITUCION FINANCIERA DE DESARROLLO"
19,1,PRINCIPAL,C04_categoria_matricula,PRINCIPAL
20,2,SUCURSAL,C04_categoria_matricula,SUCURSAL
21,3,AGENCIA,C04_categoria_matricula,AGENCIA
22,4,OFICINA,C04_categoria_matricula,OFICINA
23,1100,"SOCIO CAPITALISTA",C05_tipo_vinculo,"SOCIO CAPITALISTA"
24,1120,"SOCIO GESTOR",C05_tipo_vinculo,"SOCIO GESTOR"
25,1126,"SOCIO GESTOR ADMINISTRADOR",C05_tipo_vinculo,"SOCIO GESTOR ADMINISTRADOR"
26,1130,"SOCIO COMANDITARIO",C05_tipo_vinculo,"SOCIO COMANDITARIO"
27,1140,"SOCIO ACCIONISTA",C05_tipo_vinculo,"SOCIO ACCIONISTA"
28,1150,"SOCIO ADMINISTRADOR",C05_tipo_vinculo,"SOCIO ADMINISTRADOR"
29,1160,"SOCIO COLECTIVO",C05_tipo_vinculo,"SOCIO COLECTIVO"
30,1170,ASOCIADO,C05_tipo_vinculo,ASOCIADO
31,1180,"SOCIO EMPRESA PUBLICA",C05_tipo_vinculo,"SOCIO EMPRESA PUBLICA"
32,2100,PRESIDENTE,C05_tipo_vinculo,PRESIDENTE
33,2105,"PRESIDENTE DE LA JUNTA DE SOCIOS",C05_tipo_vinculo,"PRESIDENTE DE LA JUNTA DE SOCIOS"
34,2106,"PRESIDENTE DE LA JUNTA DIRECTIVA",C05_tipo_vinculo,"PRESIDENTE DE LA JUNTA DIRECTIVA"
35,2108,"PRESIDENTE DE LA JUNTA CONCORDATARIA",C05_tipo_vinculo,"PRESIDENTE DE LA JUNTA CONCORDATARIA"
36,2109,"PRESIDENTE DEL DIRECTORIO",C05_tipo_vinculo,"PRESIDENTE DEL DIRECTORIO"
37,2119,DIRECTOR,C05_tipo_vinculo,DIRECTOR
38,2120,GERENTE,C05_tipo_vinculo,GERENTE
39,2125,CO-GERENTE,C05_tipo_vinculo,CO-GERENTE
40,2127,"SUPLENTE DEL GERENTE",C05_tipo_vinculo,"SUPLENTE DEL GERENTE"
41,2130,SUBGERENTE,C05_tipo_vinculo,SUBGERENTE
42,2131,"SUBGERENTE DE NEGOCIOS",C05_tipo_vinculo,"SUBGERENTE DE NEGOCIOS"
43,2140,"MIEMBRO DE JUNTA DIRECTIVA TITULAR",C05_tipo_vinculo,"MIEMBRO DE JUNTA DIRECTIVA TITULAR"
44,2150,"DIRECTOR GENERAL",C05_tipo_vinculo,"DIRECTOR GENERAL"
45,2153,"DIRECTOR DE PLANIFICACION",C05_tipo_vinculo,"DIRECTOR DE PLANIFICACION"
46,2154,"DIRECTOR ADMINISTRATIVO",C05_tipo_vinculo,"DIRECTOR ADMINISTRATIVO"
47,2155,"DIRECTOR EJECUTIVO",C05_tipo_vinculo,"DIRECTOR EJECUTIVO"
48,2158,"DIRECTOR DE AGENCIA",C05_tipo_vinculo,"DIRECTOR DE AGENCIA"
49,2159,"DIRECTOR JURIDICO",C05_tipo_vinculo,"DIRECTOR JURIDICO"
50,2160,SINDICO,C05_tipo_vinculo,SINDICO
51,2161,"SINDICO POR MAYORIA",C05_tipo_vinculo,"SINDICO POR MAYORIA"
52,2162,"SINDICO POR MINORIA",C05_tipo_vinculo,"SINDICO POR MINORIA"
53,2163,"ENCARGADO DE AGENCIA",C05_tipo_vinculo,"ENCARGADO DE AGENCIA"
54,2170,"REPRESENTANTE LEGAL",C05_tipo_vinculo,"REPRESENTANTE LEGAL"
55,2171,"REPRESENTANTE LEGAL",C05_tipo_vinculo,"REPRESENTANTE LEGAL"
56,2172,"REPRESENTANTE LEGAL SUCURSAL",C05_tipo_vinculo,"REPRESENTANTE LEGAL SUCURSAL"
57,2176,"REPRESENTANTE LEGAL ESPECIAL",C05_tipo_vinculo,"REPRESENTANTE LEGAL ESPECIAL"
58,2177,"REPRESENTANTE LEGAL PRINCIPAL",C05_tipo_vinculo,"REPRESENTANTE LEGAL PRINCIPAL"
59,2178,ADMINISTRADOR,C05_tipo_vinculo,ADMINISTRADOR
60,2179,"ADMINISTRADOR REGIONAL",C05_tipo_vinculo,"ADMINISTRADOR REGIONAL"
61,2181,"REPRESENTANTE LEGAL",C05_tipo_vinculo,"REPRESENTANTE LEGAL"
62,2185,PROMOTOR,C05_tipo_vinculo,PROMOTOR
63,2187,PERITO,C05_tipo_vinculo,PERITO
64,2190,"MANDATARIO GENERAL",C05_tipo_vinculo,"MANDATARIO GENERAL"
65,2199,"MANDATARIO ESPECIAL",C05_tipo_vinculo,"MANDATARIO ESPECIAL"
66,2200,"GERENTE GENERAL",C05_tipo_vinculo,"GERENTE GENERAL"
67,2210,"GERENTE ADMINISTRADOR",C05_tipo_vinculo,"GERENTE ADMINISTRADOR"
68,2212,"GERENTE ADMINISTRATIVO",C05_tipo_vinculo,"GERENTE ADMINISTRATIVO"
69,2214,"GERENTE ADMINISTRATIVO Y FINANCIERO",C05_tipo_vinculo,"GERENTE ADMINISTRATIVO Y FINANCIERO"
70,2215,"GERENTE ADJUNTO",C05_tipo_vinculo,"GERENTE ADJUNTO"
71,2218,"GERENTE COMERCIAL",C05_tipo_vinculo,"GERENTE COMERCIAL"
72,2219,"GERENTE DE RIESGO",C05_tipo_vinculo,"GERENTE DE RIESGO"
73,2220,"GERENTE COMERCIO EXTERIOR",C05_tipo_vinculo,"GERENTE COMERCIO EXTERIOR"
74,2222,"GERENTE DE IMPORTACIONES Y EXPORTACIONES",C05_tipo_vinculo,"GERENTE DE IMPORTACIONES Y EXPORTACIONES"
75,2224,"GERENTE DE INVESTIGACION Y DESARROLLO",C05_tipo_vinculo,"GERENTE DE INVESTIGACION Y DESARROLLO"
76,2226,"GERENTE DE MARKETING",C05_tipo_vinculo,"GERENTE DE MARKETING"
77,2228,"GERENTE DE PRODUCCION",C05_tipo_vinculo,"GERENTE DE PRODUCCION"
78,2232,"GERENTE DIRECTOR",C05_tipo_vinculo,"GERENTE DIRECTOR"
79,2234,"GERENTE DIRECTOR DE AGENCIA",C05_tipo_vinculo,"GERENTE DIRECTOR DE AGENCIA"
80,2236,"GERENTE EJECUTIVO",C05_tipo_vinculo,"GERENTE EJECUTIVO"
81,2238,"GERENTE FINANCIERO",C05_tipo_vinculo,"GERENTE FINANCIERO"
82,2240,"GERENTE GESTOR",C05_tipo_vinculo,"GERENTE GESTOR"
83,2244,"GERENTE LIQUIDADOR",C05_tipo_vinculo,"GERENTE LIQUIDADOR"
84,2246,"GERENTE NACIONAL",C05_tipo_vinculo,"GERENTE NACIONAL"
85,2248,"GERENTE OPERATIVO",C05_tipo_vinculo,"GERENTE OPERATIVO"
86,2256,"GERENTE TECNICO",C05_tipo_vinculo,"GERENTE TECNICO"
87,2258,"GERENTE TECNICO Y COMERCIAL",C05_tipo_vinculo,"GERENTE TECNICO Y COMERCIAL"
88,2260,"GERENTE DE SUCURSAL",C05_tipo_vinculo,"GERENTE DE SUCURSAL"
89,2262,"GERENTE DE OPERACIONES",C05_tipo_vinculo,"GERENTE DE OPERACIONES"
90,2264,"GERENTE DE NEGOCIOS",C05_tipo_vinculo,"GERENTE DE NEGOCIOS"
91,2268,"PRESIDENTE GERENTE",C05_tipo_vinculo,"PRESIDENTE GERENTE"
92,2270,"GERENTE TESORERO",C05_tipo_vinculo,"GERENTE TESORERO"
93,2272,"GERENTE JURIDICO",C05_tipo_vinculo,"GERENTE JURIDICO"
94,2282,"GERENTE DE VENTAS",C05_tipo_vinculo,"GERENTE DE VENTAS"
95,2284,"GERENTE DE PROYECTOS",C05_tipo_vinculo,"GERENTE DE PROYECTOS"
96,2285,"GERENTE DE INVERSIONES",C05_tipo_vinculo,"GERENTE DE INVERSIONES"
97,2286,"GERENTE ADMINISTRATIVO DE PLANTA",C05_tipo_vinculo,"GERENTE ADMINISTRATIVO DE PLANTA"
98,2288,"GERENTE DE TELECOMUNICACIONES",C05_tipo_vinculo,"GERENTE DE TELECOMUNICACIONES"
99,2292,"GERENTE DE DESARROLLO",C05_tipo_vinculo,"GERENTE DE DESARROLLO"
100,2293,"GERENTE CONTRALOR",C05_tipo_vinculo,"GERENTE CONTRALOR"
101,2294,"GERENTE DELEGADO",C05_tipo_vinculo,"GERENTE DELEGADO"
102,2297,"GERENTE DE RELACIONES HUMANAS",C05_tipo_vinculo,"GERENTE DE RELACIONES HUMANAS"
103,2298,"GERENTE DE RECURSOS HUMANOS",C05_tipo_vinculo,"GERENTE DE RECURSOS HUMANOS"
104,2299,"GERENTE DE SERVICIOS MEDICOS",C05_tipo_vinculo,"GERENTE DE SERVICIOS MEDICOS"
105,2300,"SUBGERENTE GENERAL",C05_tipo_vinculo,"SUBGERENTE GENERAL"
106,2315,"SUBGERENTE ADMINISTRATIVO",C05_tipo_vinculo,"SUBGERENTE ADMINISTRATIVO"
107,2316,"SUBGERENTE GESTOR",C05_tipo_vinculo,"SUBGERENTE GESTOR"
108,2317,"SUBGERENTE TECNICO",C05_tipo_vinculo,"SUBGERENTE TECNICO"
109,2318,"SUBGERENTE OPERATIVO",C05_tipo_vinculo,"SUBGERENTE OPERATIVO"
110,2319,"SUBGERENTE TESORERO",C05_tipo_vinculo,"SUBGERENTE TESORERO"
111,2320,"SUBGERENTE EJECUTIVO",C05_tipo_vinculo,"SUBGERENTE EJECUTIVO"
112,2321,"SUBGERENTE COMERCIAL",C05_tipo_vinculo,"SUBGERENTE COMERCIAL"
113,2322,"SUBGERENTE SUBDIRECTOR",C05_tipo_vinculo,"SUBGERENTE SUBDIRECTOR"
114,2323,"SUBGERENTE DE VENTAS",C05_tipo_vinculo,"SUBGERENTE DE VENTAS"
115,2324,"SUBGERENTE FINANCIERO",C05_tipo_vinculo,"SUBGERENTE FINANCIERO"
116,2325,"SUBGERENTE DE RELACIONES INDUSTRIALES",C05_tipo_vinculo,"SUBGERENTE DE RELACIONES INDUSTRIALES"
117,2326,"SUBGERENTE JURIDICO",C05_tipo_vinculo,"SUBGERENTE JURIDICO"
118,2327,EJECUTIVO,C05_tipo_vinculo,EJECUTIVO
119,2331,"PRESIDENTE DEL CONSEJO DIRECTIVO",C05_tipo_vinculo,"PRESIDENTE DEL CONSEJO DIRECTIVO"
120,2332,"VICEPRESIDENTE DEL CONSEJO DIRECTIVO",C05_tipo_vinculo,"VICEPRESIDENTE DEL CONSEJO DIRECTIVO"
121,2333,"SECRETARIO GENERAL_DEL CONSEJO DIRECTIVO",C05_tipo_vinculo,"SECRETARIO GENERAL_DEL CONSEJO DIRECTIVO"
122,2334,"TESORERO DEL CONSEJO DIRECTIVO",C05_tipo_vinculo,"TESORERO DEL CONSEJO DIRECTIVO"
123,2335,"VOCAL DEL CONSEJ0 DIRECTIVO",C05_tipo_vinculo,"VOCAL DEL CONSEJ0 DIRECTIVO"
124,2336,"AUDITOR INTERNO",C05_tipo_vinculo,"AUDITOR INTERNO"
125,2337,"GERENTE REGIONAL",C05_tipo_vinculo,"GERENTE REGIONAL"
126,2341,"MIEMBRO PRINCIPAL CONSEJO DIRECTIVO",C05_tipo_vinculo,"MIEMBRO PRINCIPAL CONSEJO DIRECTIVO"
